codigo_ise;nome_ise;nome_cvm;cnpj;setor;uf;participacao_pct
AERI3;AERIS;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;12.528.708/0001-07;Máquinas, Equipamentos, Veículos e Peças;CE;0,015
AERI3;AERIS;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;12.528.708/0001-07;Máquinas, Equipamentos, Veículos e Peças;CE;0,015
ALOS3;ALLOS;ALLOS S.A.;05.878.397/0001-32;Emp. Adm. Part. - Comércio (Atacado e Varejo);RJ;2,230
ALOS3;ALLOS;ALLOS S.A.;05.878.397/0001-32;Emp. Adm. Part. - Comércio (Atacado e Varejo);RJ;2,230
AURE3;AUREN;AUREN ENERGIA S.A;28.594.234/0001-23;Energia Elétrica;SP;0,808
AURE3;AUREN;AUREN ENERGIA S.A;28.594.234/0001-23;Energia Elétrica;SP;0,808
AURE3;AUREN;AUREN OPERAÇÕES S.A.;00.194.724/0001-13;Emp. Adm. Part. - Energia Elétrica;SP;0,808
AURE3;AUREN;AUREN PARTICIPAÇÕES S.A.;37.663.076/0001-07;Energia Elétrica;SP;0,808
AXIA3;AXIA ENERGIA;AXIA ENERGIA NORDESTE S.A.;33.541.368/0001-16;Energia Elétrica;PE;2,462
AXIA3;AXIA ENERGIA;AXIA ENERGIA NORTE S.A.;00.357.038/0001-16;Energia Elétrica;DF;2,462
AXIA3;AXIA ENERGIA;AXIA ENERGIA SUL S.A.;02.016.507/0001-69;Energia Elétrica;SC;2,462
AXIA7;AXIA ENERGIA;AXIA ENERGIA NORDESTE S.A.;33.541.368/0001-16;Energia Elétrica;PE;0,620
AXIA7;AXIA ENERGIA;AXIA ENERGIA NORTE S.A.;00.357.038/0001-16;Energia Elétrica;DF;0,620
AXIA7;AXIA ENERGIA;AXIA ENERGIA SUL S.A.;02.016.507/0001-69;Energia Elétrica;SC;0,620
AZZA3;AZZAS 2154;AZZAS 2154 S.A.;16.590.234/0001-76;Têxtil e Vestuário;MG;0,503
B3SA3;B3;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;SP;3,108
B3SA3;B3;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;SP;3,108
BBDC4;BRADESCO;BANCO BRADESCO S.A.;60.746.948/0001-12;Bancos;SP;2,509
BBDC4;BRADESCO;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47.509.120/0001-82;Arrendamento Mercantil;SP;2,509
BBAS3;BRASIL;ACO VERDE DO BRASIL S.A;07.636.657/0001-99;Metalurgia e Siderurgia;MA;2,567
BBAS3;BRASIL;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;SP;2,567
BBAS3;BRASIL;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;SP;2,567
BBAS3;BRASIL;BANCO ABC BRASIL S/A;28.195.667/0001-06;Bancos;SP;2,567
BBAS3;BRASIL;BANCO DO BRASIL S.A.;00.000.000/0001-91;Bancos;DF;2,567
BBAS3;BRASIL;BANCO DO NORDESTE DO BRASIL SA;07.237.373/0001-20;Bancos;CE;2,567
BBAS3;BRASIL;BANCO MERCANTIL BRASIL SA;17.184.037/0001-10;Bancos;MG;2,567
BBAS3;BRASIL;BANCO RCI BRASIL S.A.;62.307.848/0001-15;Bancos;PR;2,567
BBAS3;BRASIL;BANCO SANTANDER (BRASIL) S.A.;90.400.888/0001-42;Bancos;SP;2,567
BBAS3;BRASIL;BRASIL BIOFUELS S.A.;09.478.309/0001-66;Energia Elétrica;RR;2,567
BBAS3;BRASIL;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;35.764.708/0001-01;Telecomunicações;SP;2,567
BBAS3;BRASIL;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;07.628.528/0001-59;Agricultura (Açúcar, Álcool e Cana);SP;2,567
BBAS3;BRASIL;BRB BANCO DE BRASILIA SA;00.000.208/0001-00;Bancos;DF;2,567
BBAS3;BRASIL;CENTRAIS ELETRICAS BRASILEIRAS SA;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;RJ;2,567
BBAS3;BRASIL;CHINA THREE GORGES BRASIL ENERGIA S.A.;19.014.221/0001-47;Energia Elétrica;SP;2,567
BBAS3;BRASIL;COMPANHIA BRASILEIRA DE ALUMINIO;61.409.892/0001-73;Extração Mineral;SP;2,567
BBAS3;BRASIL;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;47.508.411/0001-56;Comércio (Atacado e Varejo);SP;2,567
BBAS3;BRASIL;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;47.508.411/0001-56;Comércio (Atacado e Varejo);SP;2,567
BBAS3;BRASIL;COMPANHIA BRASILEIRA DE EDUCAÇÃO E SISTEMA DE ENSINO S.A.;06.267.630/0001-03;Educação;CE;2,567
BBAS3;BRASIL;COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS;52.270.350/0001-71;Intermediação Financeira;SP;2,567
BBAS3;BRASIL;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;18.572.225/0001-88;Serviços Transporte e Logística;GO;2,567
BBAS3;BRASIL;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;10.760.260/0001-19;Hospedagem e Turismo;SP;2,567
BBAS3;BRASIL;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;10.760.260/0001-19;Hospedagem e Turismo;SP;2,567
BBAS3;BRASIL;CVLB BRASIL S.A.;16.233.389/0001-55;Comércio (Atacado e Varejo);RJ;2,567
BBAS3;BRASIL;EDP ENERGIAS DO BRASIL S/A;03.983.431/0001-03;Energia Elétrica;SP;2,567
BBAS3;BRASIL;EDP ENERGIAS DO BRASIL S/A;03.983.431/0001-03;Energia Elétrica;SP;2,567
BBAS3;BRASIL;ELDORADO BRASIL CELULOSE S.A.;07.401.436/0001-31;Papel e Celulose;SP;2,567
BBAS3;BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,567
BBAS3;BRASIL;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Energia Elétrica;SC;2,567
